id,cardId,text,completed,dueDate,assignedToId,createdById,orderIndex,createdAt,updatedAt
cmk2y5xn7000004l7r1g4i893,cmk2v1mly000004l117vmjsjj,Begin road map and outline,false,,,user_grant,0,2026-01-06 18:52:52.945,2026-01-06 18:52:52.945
cmk2y65h1000104l763qy0rw4,cmk2v1mly000004l117vmjsjj,begin,false,,,user_grant,1,2026-01-06 18:53:03.093,2026-01-06 18:53:03.093
