id,columnId,title,description,descriptionPlain,dueDate,orderIndex,createdById,createdAt,updatedAt,searchVector
cmk2v1mly000004l117vmjsjj,main-board-backlog,Complete PM Software,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""polish""}]}]}",polish,2026-01-09 06:00:00,1,user_grant,2026-01-06 17:25:33.171,2026-01-06 19:19:14.366,
welcome-card,main-board-backlog,Welcome to Backpack,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""This is your first project card. Click to edit and add details, tasks, attachments, and comments.""}]}]}","This is your first project card. Click to edit and add details, tasks, attachments, and comments.",,0,user_justin,2025-12-29 16:03:36.016,2025-12-29 16:03:36.016,
